word	ch	gl	ex	rank	level
ngọn		a mountain, a tree, a lamp, a flag	a mountain (ngọn núi), a tree (ngọn cây), a lamp (ngọn đèn), a flag (on pole: ngọn cờ), etc.	1469	B1
tô	𥗹	a bowlful (Southern VN)	a bowlful (of noodle soup: tô mì)	1482	B1
canh	更	watch, guard	watch, guard (of the night)	1483	B1
bầy	𠍣	a flock, herd	a flock, herd (of hunting dogs: bầy chó săn)	1505	B2
củ		a bulb, a tuber	a bulb (of onion: cù hành tây); a tuber (of manioc: cù sắn)	1516	A
gói		a package, a bundle, a pack	a package (given as a gift: gói quà), a bundle (of clothes : gói quần áo), a pack (of cigarettes: gói thuốc lá) 	1534	B2
cặp		a pair, a couple	a pair (of eyes: cặp mắt), a couple (unmarried; cặp trai gái; married: cặp vợ chồng; of lovers: cặp uyên ương)	1539	B2
khúc	曲	a portion, a section	a portion, section (of a fish: khúc cá; of a tree trunk: khúc gỗ); a section (of a river: khúc sông; of a road: khúc đường); a song or a piece of music (khúc nhạc) 	1549	B2
màn		a scene	a scene (of a play: màn kịch)	1550	B2
bậc	𨸾	a rank, a category, a step, a rung	a rank, category, step (of stairs), or rung (of ladder): bậc thang	1552	B2
hộp	盒	a boxful, a carton	a boxful, a carton (of candies: hộp kẹo; etc.)	1576	B2
bụi	蓓, 𦹷	a bush, a thicket	a bush, thicket (of bamboos: bụi tre; of trees: bụi cây, etc.)	1596	B2
mảnh		a piece, a small field, a small garden	a piece (of wood: mảnh gỗ; etc.), a small field (mảnh ruộng), a small garden (mảnh vườn)	1691	B2
hòn	𡉕	a stone, a stone-like object, an island	a stone (hồn đá), a stone-like object (bullet: hòn đạn), an island (hòn đảo)	1742	B2
đĩa	碟	a plateful	a plateful (of meat: đĩa thịt)	1754	B2
bó		a bunch, bundle	a bunch, bundle (of twigs: bỏ củi)	1768	B2
nét		a stroke, a facial feature	a stroke (of pen, pencil, brush: nét bút), a facial feature (nét mặt)	1829	B2
quyển	卷	a fascicle, a book, a volume	a fascicle, a book, a volume (quyển sách)	1884	B2
sợi	𥾘, 𥿥	a hair, a thread, a string, a cord, a rope	a hair (sợi lông), a thread (sợi chỉ), a string, cord (sợi giây), a rope (sợi thừng)	1887	A
bực	𨸾	a rank, a category, a step, a rung	a rank, category, step (of stairs), or rung (of ladder): bậc thang	1904	B2
đống	埬	a heap, a pile, a stack	a heap (of refuse: đống rác), a pile (of sand: đống cát), a stack (of straw: đống rơm)	1937	B2
giọt	湥	a drop	a drop (of blood: giọt máu; of water: giọt nước; etc.)	1956	B2
chai		a bottleful	a bottleful (of wine: chai rượu)	2034	B2
tách	碏	a cupful	a cupful (of tea: tách trà)	2035	B2
bát	缽	an eating-bowlful	an eating-bowlful (of noodles: bát phở)	2046	B2
nương		a terrace field	a terrace field (of sweet potatoes: nương khoai) 	2048	B2
nụ		a bud	a bud (of tea: nụ chè)	2143	B2
cuộn	卷	a roll	a roll (of paper: cuộn giấy; of cloth: cuộn vải; of film: cuộn phim)	2153	B2
ổ	隖	a nest, a brood, a lock, a loaf of bread	a nest (of crows: ổ quạ; etc.), a brood (of chickens: ổ gà; puppies: ổ chó; of mice: ổ chuột; etc.), a lock (ổ khóa), an engine (ổ mảy), a loaf of bread (ổ bánh mỉ)	2201	B2
vở	𡳩, 𦅴	a play	a play: vở kịch	2238	B2
chén	盞	a cup(ful)	a cup(ful) (of tea: chén trè)	2255	B2
ngón	𢭫, 𢯥, 𢴝	a finger, a toe, a trick	a finger (ngón tay), a toe (ngón chân); a trick (to bluff: ngón bịp)	2316	B2
buồng	蓬, 逢	a bunch, an ovary	a bunch (of bananas: buồng chuối; of areca fruits: buồng cau), an ovary (buồng trứng)	2471	B2
tia		a ray, a beam	a ray, beam (of light: tia sáng), a jet (of water: tia nước)	2487	B2
luồng		a gust, a draft, a sound wave, a current	a gust, draft (of wind: luồng gió), a sound wave (luồng sóng điện); a current (of electricity: luồng điện)	2587	B2
vũng		a holeful	a holeful (of water: vũng nước)	2699	B2
lứa		a hatch, a brood	a hatch, a brood (of chickens: lứa gà; etc.)	2746	B2
rổ	𥯇, 𥶇	a quantity that can be contained in a small bamboo basket called rổ 	a quantity that can be contained in a small bamboo basket called rổ (basketful of raw rice: rỗ gạo) whose weave is broader than in the one called rá, but which is smaller than the one called thúng	2782	B2
cỗ		a carriage	a carriage—probably complete with horses (cỗ xe); a coffin (cỗ áo quan)	2971	B2
nhát		a cut, a stab, a wound, a stroke	a cut, a stab, a wound (with a knife: nhát dao) ; a stroke (with a hammer: nhát búa)	2989	B2
mẩu		a piece	a piece (of bread: mẩu bánh mì)	3060	C
bể	𣷭	a tankful	a tankful (of rain water: bể nước mưa)	3083	C
vại		an earthware jarful	an earthenware jarful (of salted vegetables: vại dưa)	3104	C
chùm		a bunch, an ovary	a bunch (of grapes: chùm nho; of keys: chùm chìa khóa)	3267	A
chậu	𡊱, 𡎣, 𡔍, 𤭷, 𦈽, 𫵥	a washing-bowlful	a washing-bowlful (of water: chậu nước)	3353	C
muỗng		a spoonful (Southern VN)	a spoonful (of salt: muỗng muối)	3742	C
hột		small-roundish, seed-like	small-roundish, seed-like	3762	C
vuông	𣃱, 𣄇, 𣄖, 𩖫	a square	a square (of cloth: vuông vải)	3769	C
điếu		a cigarette, a pipe	a cigarette (điếu thuốc lá), a pipe (of tobacco: diếu thuốc lào; of opium: điểu thuốc phiện)	3822	C
áng		a cloud	a cloud: áng mây	4160	C
hòm	㮀, 函, 梒	a boxful, a trunkful	a boxful; trunkful (of clothes: hòm quần áo)	4252	C
thìa	𠤧, 𣼮, 𨫉	a spoonful	a spoonful (of sugar: thìa đường)	4290	C
rặng	𡻔	a row or line	a row or line (of trees: rặng cây)	4478	C
